true_negative,false_positive,false_negative,true_positive,iou,dice,hd,hd95,filename,gt_filename,image_id
246932,3095,28,12089,0.7947015514067841,0.8856085857660891,14.0,11.661903381347656,ISIC_0010607_mask.png,ISIC_0010607.png,ISIC_0010607
66193,1019,10943,183989,0.9389541262866737,0.9685160814865506,117.0,31.620399475097656,ISIC_0010062_mask.png,ISIC_0010062.png,ISIC_0010062
118715,7575,325,135529,0.9449204833053287,0.9716803246366836,16.0,10.816654205322266,ISIC_0000222_mask.png,ISIC_0000222.png,ISIC_0000222
23951,1568,7617,229008,0.9614388332150818,0.9803403674221588,193.0,114.199951171875,ISIC_0011151_mask.png,ISIC_0011151.png,ISIC_0011151
253397,964,91,7692,0.8793872184749056,0.9358233469189123,9.219544410705566,5.830951690673828,ISIC_0001242_mask.png,ISIC_0001242.png,ISIC_0001242
182775,5480,1001,72888,0.9183434338343686,0.9574338125669098,19.235383987426758,11.344511985778809,ISIC_0009993_mask.png,ISIC_0009993.png,ISIC_0009993
116847,4976,2721,137600,0.9470257472625037,0.9727922176622587,19.416488647460938,13.21897029876709,ISIC_0009918_mask.png,ISIC_0009918.png,ISIC_0009918
168834,2965,1230,89115,0.9550423320115743,0.9770042483212279,13.601470947265625,8.0,ISIC_0011325_mask.png,ISIC_0011325.png,ISIC_0011325
196592,19534,0,46018,0.702007566512082,0.8249170924083535,46.51881408691406,36.22154235839844,ISIC_0011384_mask.png,ISIC_0011384.png,ISIC_0011384
173303,0,17129,71712,0.8071948762395741,0.893312488710893,42.72002029418945,33.0,ISIC_0009902_mask.png,ISIC_0009902.png,ISIC_0009902
179915,613,1781,79835,0.9708861837064783,0.9852280580511403,11.661903381347656,4.4721360206604,ISIC_0000231_mask.png,ISIC_0000231.png,ISIC_0000231
58686,1182,3810,198466,0.9754642235743987,0.987579741443656,223.0,158.0,ISIC_0010369_mask.png,ISIC_0010369.png,ISIC_0010369
237531,4075,69,20469,0.8316336895136717,0.9080786123064638,23.25940704345703,18.0,ISIC_0004115_mask.png,ISIC_0004115.png,ISIC_0004115
103922,281,5470,152471,0.9636523365903604,0.9814897664253781,14.317821502685547,8.0,ISIC_0000111_mask.png,ISIC_0000111.png,ISIC_0000111
245586,1576,62,14920,0.9010750090590651,0.9479636571573797,14.0,8.5440034866333,ISIC_0011168_mask.png,ISIC_0011168.png,ISIC_0011168
243359,303,2737,15745,0.8381687516635613,0.9119606139588763,13.0,11.0,ISIC_0002246_mask.png,ISIC_0002246.png,ISIC_0002246
175749,3319,1755,81321,0.9412697494067944,0.9697464761859333,15.55634880065918,10.630146026611328,ISIC_0011336_mask.png,ISIC_0011336.png,ISIC_0011336
177860,115,4172,79997,0.9491362536187177,0.9739044685630109,11.401754379272461,7.8102498054504395,ISIC_0010463_mask.png,ISIC_0010463.png,ISIC_0010463
143806,0,25410,92928,0.7852760736196319,0.8797250859106529,45.54119110107422,37.64637756347656,ISIC_0000515_mask.png,ISIC_0000515.png,ISIC_0000515
226530,201,2462,32951,0.925226034705453,0.9611609421716619,13.416407585144043,7.0,ISIC_0008600_mask.png,ISIC_0008600.png,ISIC_0008600
253147,221,661,8115,0.9019673224408136,0.9484572230014026,13.0,6.324555397033691,ISIC_0008659_mask.png,ISIC_0008659.png,ISIC_0008659
177329,12440,143,72232,0.8516418086423392,0.9198774889045954,24.83948516845703,20.39607810974121,ISIC_0000014_mask.png,ISIC_0000014.png,ISIC_0000014
203326,10337,306,48175,0.8190519908871434,0.9005262026487714,29.832868576049805,21.540658950805664,ISIC_0010591_mask.png,ISIC_0010591.png,ISIC_0010591
213194,133,11078,37739,0.7709703779366701,0.8706756335867296,33.541019439697266,27.294687271118164,ISIC_0009958_mask.png,ISIC_0009958.png,ISIC_0009958
231610,350,2294,27890,0.9134080041920483,0.9547446254963714,25.553865432739258,9.433980941772461,ISIC_0011292_mask.png,ISIC_0011292.png,ISIC_0011292
189609,0,49815,22720,0.3132280967808644,0.47703532622959427,193.04144287109375,166.64459228515625,ISIC_0010348_mask.png,ISIC_0010348.png,ISIC_0010348
225747,2914,77,33406,0.9178228974915515,0.9571508387891637,14.866068840026855,7.886154651641846,ISIC_0000069_mask.png,ISIC_0000069.png,ISIC_0000069
247677,1672,19,12776,0.8831132923204534,0.9379290092867892,9.219544410705566,7.071067810058594,ISIC_0000012_mask.png,ISIC_0000012.png,ISIC_0000012
124399,46875,97,90773,0.65899306689898,0.7944494525595358,106.01886749267578,81.0018539428711,ISIC_0000549_mask.png,ISIC_0000549.png,ISIC_0000549
160757,1031,11099,89257,0.8803594149151271,0.9363735548981348,30.364452362060547,21.470911026000977,ISIC_0011310_mask.png,ISIC_0011310.png,ISIC_0011310
223286,7771,138,30949,0.7964640485871635,0.8867019066855759,29.017236709594727,20.0,ISIC_0010483_mask.png,ISIC_0010483.png,ISIC_0010483
72663,228,21417,167836,0.8857669106665048,0.9394235370833182,29.546573638916016,24.698177337646484,ISIC_0010175_mask.png,ISIC_0010175.png,ISIC_0010175
245995,0,4181,11968,0.7410985200322001,0.8512999253120888,18.0,13.834227561950684,ISIC_0006193_mask.png,ISIC_0006193.png,ISIC_0006193
208607,4597,145,48795,0.9114257429441321,0.9536606340147754,22.671567916870117,10.0,ISIC_0000027_mask.png,ISIC_0000027.png,ISIC_0000027
