true_negative,false_positive,false_negative,true_positive,iou,dice,hd,hd95,filename
237533,4073,67,20471,0.8317825362642721,0.9081673395146622,23.25940704345703,18.027755737304688,ISIC_0004115.png
98493,36828,3,126820,0.7749417968726131,0.8732024883723332,60.605281829833984,44.384681701660156,ISIC_0000246.png
31840,1282,4624,224398,0.9743556342920662,0.9870112733174695,153.0,91.0,ISIC_0010190.png
238022,0,5850,18272,0.7574827957880773,0.8620087748266264,27.294687271118164,21.02379608154297,ISIC_0011386.png
241221,742,155,20026,0.9571285188548487,0.9780947031673545,5.0,4.0,ISIC_0010206.png
253812,250,236,7846,0.9416706673067691,0.9699592038570899,5.0,3.605551242828369,ISIC_0010004.png
228384,5770,0,27990,0.8290876777251185,0.9065587044534413,16.278820037841797,13.45362377166748,ISIC_0000298.png
126036,45238,108,90762,0.6668380991565521,0.8001234186979327,103.0,78.52180480957031,ISIC_0000549.png
188030,14792,210,59112,0.7975821032463503,0.8873943524537252,41.59326934814453,35.34119415283203,ISIC_0000174.png
244706,677,1086,15675,0.8988989563023283,0.9467580708483073,9.433980941772461,7.0,ISIC_0010016.png
237349,43,2011,22741,0.9171607178866708,0.9567906428811848,15.0,7.0,ISIC_0011205.png
204801,435,4239,52669,0.9184904870690407,0.95751372577537,20.0,11.0,ISIC_0000088.png
202604,8913,1700,48927,0.8217500839771582,0.9021545723584131,59.36328887939453,42.01190185546875,ISIC_0000107.png
219697,231,3663,38553,0.9082620679906708,0.951925925925926,14.317821502685547,10.770329475402832,ISIC_0000327.png
84528,21777,3888,151951,0.8555028826231871,0.922125091407817,80.52949523925781,51.865211486816406,ISIC_0010454.png
194651,266,8965,58262,0.8632302609159468,0.9265953640014314,29.120439529418945,23.32809066772461,ISIC_0010011.png
162346,12232,4262,83304,0.8347261468165694,0.9099190615067012,44.65422821044922,31.827661514282227,ISIC_0011081.png
231232,398,1520,28994,0.9379528985507246,0.9679831736387007,11.180339813232422,6.7082037925720215,ISIC_0009035.png
218142,11,8770,35221,0.8004408890504977,0.889160975979198,30.4138126373291,25.942243576049805,ISIC_0010451.png
138305,14590,33935,75314,0.6081605956120447,0.7563431130839103,153.83432006835938,114.92582702636719,ISIC_0010847.png
93080,1332,5448,162284,0.9598968437987981,0.9795381290969012,15.81138801574707,11.401754379272461,ISIC_0000368.png
247727,2300,113,12004,0.8326281473260734,0.9086711328110215,14.0,9.433980941772461,ISIC_0010607.png
225029,1443,5739,29933,0.8064933315371143,0.8928827108936881,37.013511657714844,30.44086265563965,ISIC_0000494.png
213711,5514,1,42918,0.886131356719592,0.9396284660266445,17.0,10.0,ISIC_0009994.png
189310,0,22594,50240,0.6897877364966911,0.8164193899605116,48.754486083984375,39.40748596191406,ISIC_0000392.png
176585,3126,1127,81306,0.9502916116364146,0.974512330326911,20.0,9.219544410705566,ISIC_0000466.png
118973,2817,6019,134335,0.9382835909506814,0.968159247007272,73.0,18.004159927368164,ISIC_0010038.png
232296,474,3736,25638,0.85895202358617,0.9241250045056411,18.384777069091797,13.275617599487305,ISIC_0010173.png
72610,281,21438,167815,0.8854084227631982,0.9392218811302117,29.546573638916016,24.83948516845703,ISIC_0010175.png
28957,3477,8771,220939,0.9474756311458186,0.9730295116333353,171.0,143.949951171875,ISIC_0009980.png
168161,738,15151,78094,0.8309375099752083,0.9076634297436613,55.94640350341797,35.0,ISIC_0011175.png
122701,8,12867,126568,0.9076683662858659,0.9515997458751706,20.51828384399414,17.69180679321289,ISIC_0000258.png
178355,2198,845,80746,0.9636825836326964,0.9815054547664631,18.601076126098633,8.5440034866333,ISIC_0010449.png
245995,0,4421,11728,0.726236918694656,0.8414104817591563,18.0,14.560219764709473,ISIC_0006193.png
252791,471,409,8473,0.905912541430557,0.9506339055312465,8.0,4.630488872528076,ISIC_0008207.png
219193,2075,663,40213,0.9362529393960559,0.9670771006685586,12.369317054748535,8.9442720413208,ISIC_0000319.png
143806,0,26450,91888,0.7764876878094948,0.8741830220809985,47.70744323730469,40.0,ISIC_0000515.png
203658,97,4326,54063,0.9243750641179086,0.9607015610978329,17.262676239013672,12.041594505310059,ISIC_0011101.png
243240,173,1288,17443,0.9227147693609818,0.9598041103804991,9.899495124816895,5.830951690673828,ISIC_0001685.png
77219,57947,333,126645,0.6848452075165607,0.8129473312578233,88.27796936035156,72.04026794433594,ISIC_0000479.png
245352,4114,88,12590,0.7497617913292044,0.8569872711183718,19.209373474121094,14.233695030212402,ISIC_0010437.png
250714,11,3126,8293,0.7255468066491688,0.8409471175784617,16.155494689941406,13.601470947265625,ISIC_0010254.png
154609,980,5967,100588,0.9353977774678012,0.9666207002589815,18.357559204101562,13.0,ISIC_0000228.png
215319,13460,89,33276,0.7106460224239188,0.8308510505486822,42.0,32.0,ISIC_0011305.png
150452,20,20044,91628,0.8203631414962576,0.9013181192209325,33.0151481628418,27.0,ISIC_0000234.png
185381,413,7131,69219,0.9017234865755638,0.9483223959118248,21.0,15.55634880065918,ISIC_0010023.png
197928,2188,264,61764,0.9618163697520867,0.9805365931100175,9.0,6.0,ISIC_0000482.png
252714,1574,134,7722,0.8188759278897136,0.9004197761194029,16.278820037841797,9.0,ISIC_0001181.png
197488,18638,0,46018,0.7117359564464242,0.8315954966839547,44.59820556640625,35.693138122558594,ISIC_0011384.png
202111,0,8833,51200,0.8528642579914381,0.9205901126464269,21.540658950805664,14.0,ISIC_0000117.png
192013,10685,163,59283,0.8453180476536767,0.9161759933237517,29.529645919799805,20.86262321472168,ISIC_0000420.png
196355,351,12589,52849,0.8033105838362036,0.8909287074967548,46.52956008911133,37.193912506103516,ISIC_0009898.png
184536,19452,328,57828,0.7451293681063808,0.8539531586874981,89.8220443725586,82.20097351074219,ISIC_0010379.png
228368,27663,0,6113,0.18098649928943628,0.3065005389957131,119.40267944335938,110.07554626464844,ISIC_0009872.png
160800,3646,2768,94930,0.9367106094095359,0.9673211938412627,16.0,11.0,ISIC_0010187.png
213022,4117,530,44475,0.9053988029803347,0.9503509727875894,25.45584487915039,11.401754379272461,ISIC_0000141.png
213319,8,12153,36664,0.7509267793138761,0.8577477804161939,33.541019439697266,29.0,ISIC_0009958.png
253066,23,1126,7929,0.8734302709847984,0.932439583700829,7.280109882354736,6.0,ISIC_0000449.png
212715,642,2005,46782,0.9464484411984867,0.9724875533982601,18.0,7.886131286621094,ISIC_0010229.png
239751,225,1417,20751,0.9266735140445675,0.9619414055256814,9.899495124816895,7.071067810058594,ISIC_0002829.png
119268,7022,396,135458,0.9480808533273608,0.97334856682978,16.0,10.0,ISIC_0000222.png
237968,24,1792,22360,0.9248841826604898,0.9609764483410693,9.0,5.830951690673828,ISIC_0000129.png
233594,1594,150,26806,0.9389141856392295,0.9684948334417227,10.29563045501709,6.7082037925720215,ISIC_0002107.png
231741,1423,1987,26993,0.8878400157879157,0.9405881942992543,15.81138801574707,10.29563045501709,ISIC_0000165.png
248807,2543,1529,9265,0.6946839619104747,0.8198389523051057,28.284271240234375,20.571760177612305,ISIC_0008992.png
